2810263	0
2923785	0
2935748	0
3249438	1
3256965	2
3293102	2
3287639	2
3254709	2
3287115	2
3281626	2
3282051	2
3291684	2
3288323	2
3277554	2
3270740	2
3286776	2
3288769	2
3291784	2
3261130	2
3283751	2
2360035	3
721141	3
563904	3
2406517	0
2781338	0
2818013	0
2822398	0
3249565	1
3257768	2
598555	3
157839	3
2210462	3
563426	3
396529	3
197308	3
414066	3
215636	3
548405	3
2456057	0
3137972	0
3250275	1
3284625	2
3264984	2
3258775	2
3275362	2
3276204	2
3251603	2
3286800	2
3272754	2
3278770	2
3251630	2
3277688	2
3260555	2
3252869	2
3284021	2
3251922	2
1021569	3
2597586	0
2804229	0
2899867	0
3198595	0
3249871	1
3277628	2
3258040	2
3275743	2
3280112	2
2029358	3
1167796	3
337447	3
1478457	3
1225822	3
1881431	3
2062161	3
364378	3
1103863	3
2115741	3
933260	3
2051167	3
1556455	3
69396	3
2130469	3
360989	3
916941	3
951427	3
584783	3
187641	3
585413	3
1434149	3
522507	3
232436	3
625274	3
2287499	3
2092669	3
2673192	0
2905378	0
2946054	0
3249896	1
3267393	2
3270315	2
3270336	2
3287234	2
3280542	2
3284026	2
1446479	3
1031315	3
1634747	3
3122693	0
3204543	0
3277955	2
3275149	2
3254485	2
3283810	2
3288810	2
3261121	2
3285968	2
3260798	2
3256394	2
3250869	2
3289389	2
3268336	2
3251001	2
909269	3
2139952	3
1877003	3
926954	3
1650024	3
476501	3
1432490	3
1342598	3
2155553	3
1278977	3
1330371	3
2442588	0
2465546	0
2552693	0
2774028	0
3249428	1
3289527	2
3265920	2
1035445	3
954008	3
1976650	3
1719413	3
2347516	3
2630662	0
2639432	0
2834439	0
3250327	1
3272923	2
3272260	2
756070	3
1550475	3
1538934	3
894824	3
2465035	0
2499856	0
2663888	0
2912440	0
2921576	0
3249658	1
3276810	2
3286936	2
3272756	2
3254891	2
3284546	2
3292185	2
1499238	3
1646721	3
2105973	3
1299546	3
439869	3
2359046	3
277097	3
2113626	3
2791285	0
2886711	0
3014382	0
3249939	1
3263057	2
3260223	2
3261338	2
3267007	2
3251508	2
3276994	2
3257024	2
3284815	2
3280596	2
3273631	2
3276904	2
3255482	2
3287500	2
3290298	2
3286441	2
3270850	2
3291173	2
1049370	3
1963186	3
1649103	3
1499149	3
1012986	3
2036992	3
490085	3
1934489	3
2136654	3
2894361	0
2959224	0
3250059	1
3279651	2
3288837	2
3291851	2
2115270	3
1600913	3
1041578	3
91052	3
500704	3
1182812	3
1248301	3
