88	2810263,2923785,2935748,3249438,3256965,3293102,3287639,3254709,3287115,3281626,3282051,3291684,3288323,3277554,3270740,3286776,3288769,3291784,3261130,3283751,2360035,721141,563904
111	2406517,2781338,2818013,2822398,3249565,3257768,598555,157839,2210462,563426,396529,197308,414066,215636,548405
142	2456057,3137972,3250275,3284625,3264984,3258775,3275362,3276204,3251603,3286800,3272754,3278770,3251630,3277688,3260555,3270740,3252869,3284021,3251922,1021569
154	2597586,2804229,2899867,3198595,3249871,3277628,3258040,3275743,3280112,2029358,1167796,337447,1478457,1225822,1881431,2062161,364378,1103863,2115741,933260,2051167,1556455,69396,2130469,360989,916941,951427,584783,187641,585413,1434149,522507,232436,625274,2287499,2092669
263	2673192,2905378,2946054,3249896,3267393,3270315,3254709,3270336,3281626,3287234,3280542,3270740,3284026,3251922,1446479,1031315,1634747
330	3122693,3204543,3250275,3277628,3277955,3275149,3254485,3283810,3288810,3261121,3285968,3260798,3256394,3250869,3289389,3268336,3251001,909269,2139952,1877003,926954,1650024,476501,1432490,1342598,2155553,1278977,1330371
397	2442588,2465546,2552693,2774028,3249428,3277955,3289527,3265920,3280112,1035445,954008,1976650,1719413,2155553,2347516
428	2630662,2639432,2834439,3250327,3272923,3272260,756070,1550475,1538934,894824
443	2465035,2499856,2663888,2912440,2921576,3249658,3277628,3277955,3275149,3276810,3286936,3285968,3260798,3272756,3254891,3284546,3292185,3251922,3280112,3268336,3251001,1499238,1646721,2105973,1299546,439869,2359046,277097,2113626
652	2791285,2886711,3014382,3249939,3263057,3260223,3261338,3267007,3289527,3251508,3275743,3276994,3257024,3284815,3280596,3273631,3284546,3276904,3255482,3287500,3290298,3286441,3270850,3291173,1049370,1963186,1649103,1499149,1012986,2036992,490085,1934489,2136654
710	2894361,2959224,3250059,3279651,3261338,3288837,3276204,3291851,3284021,2115270,1600913,1041578,91052,500704,1182812,1248301,1831911,1685011
900	2396948,2949720,3045333,3249441,3265209,3251307,3252551,3275743,3289785,3255636,3276904,3258943,3277350,3270850,3291173,517017,1282465,636558,724368,441142,1768202,1564361,2215689,148301,166300,156723
907	2430986,2659716,3250571,3277955,3289220,3275743,3280721,3288769,3291969,3276922,1850354
926	2736697,2821088,3250030,3287166,3259921,3251307,3282394,3293002,3287768,3251848,3253746,3292185,3276904,3277350,3270850,3291173,503872,1427539,204584,393477,69396,776144,213475,1147502,396303,594795,284891,159443,787230,83743,490085,1934489,176985,557654,2215689,9137,61053
1031	2932318,3024570,3250275,3252343,3259820,3284587,3277113,3267918,3276204,3291851,3286518,3272717,3267244,3284021,3273308,3287573,3251935,3292253,3277350,3283090,1005555,2079211,1725926,1418365,899729,2037801,1709657,1481437,1686652
1174	2734776,2892194,3250457,3277955,3263662,3289527,3251508,3275743,3260798,3253676,3294338,3279630,3259301,3280112,3277350,1487449,899047,1302841,1208979,304309,88919,1976950,61264,47940,48851,553351,442797
1216	2463251,2958560,3250275,3277628,3277955,3275520,3279053,3285968,3257828,3255636,3280112,991494,1272927,927174,714417
1279	2742711,2918677,3249930,3275306,3252044,3275804,3262598,3273418,1507118,1661987,1039981,1971771,1733367,1302597,1973140,2064416,2303121,2159286
1535	3024570,3043596,3205314,3249554,3293623,3258775,3275923,3261790,3254485,3281626,3256255,3255000,3251630,3277688,3260110,3282051,3270639,3290634,3284026,3252654,3266962,1957318,866576,2381372,2050973
1702	2401545,2452896,2581552,2859248,2914839,3250054,3261650,3281626,3260495,3262647,3273884,3286518,3285128,3263611,3285300,3287720,796543,554203,2166850,1681840,1348957,219255,749264,444088,270731,723615,562641,1412276,282664,1170255,1501743
1733	2705646,2858921,3249573,3270336,3276204,3291851,3284026,3288197,3292253,916482,996645,805709
1751	2791276,2835891,2935703,2953176,3250238,3294205,3259255,3257547,3285263,1526893,2204625,2084549,2036154,2355990,2179569,1733948,198595,185434,1417390,1939831,1952671,927219,1717266
1769	2956973,2981780,3119478,3249930,3259057,3270850,3291173,1329790,1912824,2490,88919,1230450,1934489,446718,532264
1825	2715710,2949168,3090396,3249573,3293072,3252343,3277435,3267918,3291684,3253773,3261130,3277350,1499246,1418845,863663,1725926,899729,1821568
1883	2465113,3249912,3270099,3263779,3293647,3280560,2008200,1268154,2084270,1159790,2130259,1533139,2134929,1777297,360258,12566,2022038,199853,118690,601657,1643665,99530,430062,596555,357648,157426,369155,414297,1831581,215740,1345125,1250914,648400,1700054,2178353,302677,71152,1532422,88104,802592,1102361,1466897,2042388,2098135,676434,494079
1929	2409262,2749984,2939443,3249621,3277628,3277955,3253440,3278452,3291669,3256088,3260658,3266962,3262125,2100593,766633,778796,106752,1150822
1935	2529799,2832643,3249573,3277955,3256394,3276904,3291173,998061,1202185,654850,885191,1582020,67364,459131,1208210
2115	2852468,3250275,3263512,3257773,3261790,3290601,3283835,3269748,3282257,1569741,1368133
2118	2778075,2950871,3054096,3106130,3249431,3257768,3286088,3286828,3285332,3291784,3294418,904538,396529,2107017,498420,1183336,544481,602151
2280	2968928,3064431,3249438,3263185,3294681,3254709,3268746,3250892,3270336,3274260,3282051,3252613,3277554,3275798,3290398,1874314
2383	2504617,2529542,2908459,3250616,3277955,3263057,3260223,3272657,3291655,3267007,3263662,3289527,3276994,3256242,3286830,3258292,3260798,3260658,3284546,3293326,3290298,3275597,3280112,1859651,1115102,1749098,2178753,1499149,579449,1042899,284891,761233,1646021,2110804,310050,855281
2446	2606222,2660130,3249554,3277955,3289220,3285374,3287918,3283112,3258074,3256394,3254989,3271019,3290223,3262733,3255471,3251001,2062161,1942095,1817939,99022,59055,2242438,1918332,858698,82684,504074,696867,1008188,7603
2447	2947885,3050752,3250492,3285374,3273402,3275033,3251508,3252538,3276904,3251922,3270850,3291173,856391,1195906,369937,630077,114656
2472	2405797,3224056,3250059,3254709,3279540,3254485,3257012,3274260,3267244,3282051,3252613,3277554,3275798,3260253,3266962,845341,1466755,28345,1727060,1682632,1196191,626736,1874314
2510	2555765,3058119,3250059,3284587,3286740,3277435,3254485,3274761,3276121,3283346,3276204,3259705,3254970,3273881,3275804,3267622,1680905,1500607,2227887,1733367,1989668,2064416,1864633,1901919,1139568,968588
2732	2662322,2676362,2813476,3249968,3282394,3263690,3251683,3285128,3292601,3278011,3277514,1944276,917457,1937513,496272,717859,406862,1939831,63442,76230,788914
2954	2423618,2429074,2514707,3249636,3277955,3282889,3252551,3276994,3286599,3256945,3284546,3289389,3276904,3291173,982766,128257,1734103,32385,226357,365151,232128,377722,2058799,581695,2155553,470593
2978	2704073,2881216,3249554,3270315,3258775,3263662,3289527,3272717,3267112,3262409,3292326,3255903,3284021,3251922,3251934,3261130,1947685,2161243
3000	2787698,2858326,3024134,3249610,3277955,3252551,3256088,3284815,3256394,3294279,3252283,3254891,3284546,3289389,3268303,782139,98318
3050	2457332,2804784,2810496,2936888,3250275,3270867,3252343,3274374,3266040,3286740,3266129,3277175,3277435,3276204,3291851,3269110,3267244,3284021,3253773,3287573,3255863,3277350,2049058,1310172,1688183,1678375,1856872,1769050,899729,844017,1620744,1583714,1437885
3054	2518178,2662157,3249554,3283253,3263974,3291684,3252613,3261130,3277350,1255647,1330914,1297215,2235358,1725926,378232,899729,893943
3174	2777772,3145526,3209900,3249438,3259820,3281626,3276204,3273183,3256255,3288790,3291684,3280542,3257647,3261130,1905641,1048794,1166169,1875501,1968799,2099860
3254	2492493,2594963,3250606,3277628,3277955,3286228,3289686,3272717,3280996,3285968,3260798,3284546,3289389,3276556,1751972,1866171,580355,107884,1366302,142526,2012611
3290	2435188,2740129,3250059,3268746,3254485,3257260,3276204,3267244,3282051,3290601,3267622,3258585,508926,742915
3488	2627493,2963641,3244489,3249587,3266848,3279320,3259556,2008200,558802,1533139,2279749,2271002,39510,1186159,1342408,2370345,476497,501289,2203826,296726,48944,1466897,272740
3567	2996202,3071448,3250606,3259820,3270665,3277435,3269326,3276204,3291851,3268213,3253150,3266962,3252556,3257811,3277350,3251001,1830738,967042,256338
3667	3176349,3250432,3263185,3289781,3272717,3256748,3267112,3290287,3257828,3284546,3255137,3290298,3262733,3252873,3275597,3292253,3293550,829558,2210873,797810
3675	2678995,2717515,2740832,2888855,3249554,3274374,3261338,3259733,3291684,3270639,3291020,1796112,1688183,1918813,1198210,1765150,1601183,2164409,927670,2136103,1145273,412156
3679	2452700,2833888,3249795,3269297,3277622,3254709,3288837,3277435,3254485,3276204,3291851,3252371,3284446,3280258,3290771,3285918,3284021,3292138,3268336,3251001,3291173,1620906,2020819,117693,929062,1049171,777850,253540,1002186,1921870,1685011
3795	2396036,2493126,3250059,3259820,3264347,3267918,3276204,3291851,3280653,3255810,3287573,3292253,1978395,1662920,2037801,611859,1726123,509221
3817	2422476,2874916,3038342,3250059,3254131,3288926,3284815,3276904,3270850,3291173,1780664,814461,1230450,532264
3854	2477846,2609819,2614116,2693369,3249930,3277628,3258103,3273664,3287983,3286893,3288755,3257159,3288926,3254891,3284546,3250869,3276904,3277350,3270850,3291173,1524795,165041,546328,661225
3862	2611413,2934164,3250403,3255334,3267851,3283438,3262730,3288323,3253676,3257432,3284620,3293449,3282514,3277350,1336734,1781829,915689
3970	2786677,3051068,3250059,3277628,3277955,3254974,3261338,3260517,3267585,3266974,3256944,3291499,3265499,3252679,3275660,3262409,3284546,3292185,3268336,3251001,2203863,691523,1847343,2362210,607184,586099,817809,896236,2242438,122263,858698,1618371,1008188
4010	2747235,2899392,2908363,3250355,3279630,3270850,3291173,69396,799273,1652223,1409931,742915
4074	2521035,2669022,3056668,3250275,3287085,3288837,3286518,3268336,1894942,408263,1649411,1921870
4321	2612757,2989445,3054588,3250275,3263185,3264984,3258775,3275923,3276204,3256255,3252613,3277554,3265433,3272800,3251604,3251922,3262733,3285484,977810,1942270,1849568,1942708,2136250,826825,1520926,2033603,918272,206956
4363	2810345,3194181,3249569,3277955,3285954,3275743,3259481,3292814,3285968,3260798,3256088,3260658,3268188,3280077,3284546,3291969,3255817,3262733,2353831,2115741,2136133,455505,389003,600001,1231369,1094798
4468	2487964,2923390,3232348,3249554,3274117,3270665,3280542,3254891,3291969,3255817,3292138,3262733,1051227,1984791,2105606,1341820,1921870,648900,888241
4548	2422208,2457023,3249912,3263779,847202,178720,854484,2034776,1195937,1942375,2139766,1266788,510864,1250914,1567174,827075,495900,36545,365584,13339,1292736,526599,1508941,2042388,1062995
